GO id;GO term
GO:0000329;C:fungal-type vacuole membrane
GO:0000139;C:Golgi membrane
GO:0033176;C:proton-transporting V-type ATPase complex
GO:0016471;C:vacuolar proton-transporting V-type ATPase complex
GO:0000220;C:vacuolar proton-transporting V-type ATPase, V0 domain
GO:0042625;F:ATPase-coupled ion transmembrane transporter activity
GO:0046961;F:proton-transporting ATPase activity, rotational mechanism
GO:0000032;P:cell wall mannoprotein biosynthetic process
GO:0048388;P:endosomal lumen acidification
GO:0061795;P:Golgi lumen acidification
GO:0065003;P:protein-containing complex assembly
GO:1902600;P:proton transmembrane transport
GO:0055085;P:transmembrane transport
GO:0007035;P:vacuolar acidification
