GO id;GO term
GO:0005634;C:nucleus
GO:0090575;C:RNA polymerase II transcription regulator complex
GO:0005667;C:transcription regulator complex
GO:0003682;F:chromatin binding
GO:0001228;F:DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0003700;F:DNA-binding transcription factor activity
GO:0000981;F:DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0042802;F:identical protein binding
GO:0036033;F:mediator complex binding
GO:0043621;F:protein self-association
GO:0000978;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0061629;F:RNA polymerase II-specific DNA-binding transcription factor binding
GO:0043565;F:sequence-specific DNA binding
GO:0001094;F:TFIID-class transcription factor complex binding
GO:0008652;P:amino acid biosynthetic process
GO:0034198;P:cellular response to amino acid starvation
GO:0035556;P:intracellular signal transduction
GO:0010688;P:negative regulation of ribosomal protein gene transcription by RNA polymerase II
GO:0000122;P:negative regulation of transcription by RNA polymerase II
GO:0001080;P:nitrogen catabolite activation of transcription from RNA polymerase II promoter
GO:1903833;P:positive regulation of cellular response to amino acid starvation
GO:0045899;P:positive regulation of RNA polymerase II transcription preinitiation complex assembly
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0060261;P:positive regulation of transcription initiation by RNA polymerase II
GO:1990139;P:protein localization to nuclear periphery
GO:1990928;P:response to amino acid starvation
